"ENTREZID","SYMBOL","GENENAME","pathway","PathwayCount"
"4710","NDUFB4","NADH:ubiquinone oxidoreductase subunit B4","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"4712","NDUFB6","NADH:ubiquinone oxidoreductase subunit B6","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"4713","NDUFB7","NADH:ubiquinone oxidoreductase subunit B7","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"4717","NDUFC1","NADH:ubiquinone oxidoreductase subunit C1","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"4724","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"6389","SDHA","succinate dehydrogenase complex flavoprotein subunit A","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"6390","SDHB","succinate dehydrogenase complex iron sulfur subunit B","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"6391","SDHC","succinate dehydrogenase complex subunit C","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"6832","SUPV3L1","Suv3 like RNA helicase","Hallmark_MYC_Targets_V2; Hallmark_Oxidative_Phosphorylation",2
"27089","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"7384","UQCRC1","ubiquinol-cytochrome c reductase core protein 1","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"7385","UQCRC2","ubiquinol-cytochrome c reductase core protein 2","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"7388","UQCRH","ubiquinol-cytochrome c reductase hinge protein","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"29796","UQCR10","ubiquinol-cytochrome c reductase, complex III subunit X","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"10975","UQCR11","ubiquinol-cytochrome c reductase, complex III subunit XI","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
"7386","UQCRFS1","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1","Hallmark_Oxidative_Phosphorylation; KEGG_Oxidative_Phosphorylation",2
