"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0048667","cell morphogenesis involved in neuron differentiation",336,0.30516494654561,1.60893926472461,2.21314039420816e-05,0.00171110696794305,0.0011352680938858,2602,"tags=26%, list=18%, signal=22%","5747/27067/23499/59277/10371/9175/5357/4897/6868/10152/23022/23043/6792/9743/7976/8301/7074/9252/3897/51062/7204/8609/288/1000/80208/84612/5727/22903/56288/5764/23327/6259/5795/5728/6683/9706/2534/153478/10611/55740/2043/8976/627/23181/203228/23032/6091/9693/7436/157657/8997/85440/26230/5048/5578/22902/4205/6654/54798/54664/10890/9762/64218/659/25942/4781/2932/4983/1946/4131/214/2045/6498/345651/4898/66008/57698/23390/999/1948/10160/26128/144165/5532/8239/55605/57453/2803",0.575610261071129
"GO:0016137","glycoside metabolic process",14,-0.600214091456752,-1.60880622653162,0.0318328911286167,0.313639404164171,0.208090327024363,2799,"tags=71%, list=20%, signal=57%","57016/1645/4668/231/8574/2519/8644/2717/1646/2629",0.321775918075361
"GO:1901077","regulation of relaxation of muscle",7,0.719596207127517,1.60691848958286,0.028593967040737,0.29896468030493,0.198354088381137,1261,"tags=43%, list=9%, signal=39%","5144/817/2770",0.352487857583619
"GO:0070327","thyroid hormone transport",7,-0.727012280137949,-1.60689437865559,0.0371590070477802,0.338568190578799,0.224629828274739,3443,"tags=86%, list=24%, signal=65%","8140/6520/6567/23428/1428/28231",0.321775918075361
"GO:0070936","protein K48-linked ubiquitination",99,0.358722056242569,1.60656212264212,0.00171714259752762,0.0610809507968593,0.0405253767783095,3241,"tags=36%, list=23%, signal=28%","6737/8945/81790/57162/51366/10299/84078/57531/117854/23327/7324/7328/27246/7267/25948/329/81847/11074/80263/223082/3093/81545/7128/7321/26268/7320/7323/83737/29945/10210/54765/54708/7337/92912/23077/996",0.45505986738723
"GO:0010499","proteasomal ubiquitin-independent protein catabolic process",19,-0.547902345026395,-1.60646606015368,0.037896604070389,0.342585300796316,0.227295060282445,2760,"tags=47%, list=20%, signal=38%","5686/90007/5691/5692/5689/5693/5694/5695/5688",0.321775918075361
"GO:0002021","response to dietary excess",10,0.64637424968808,1.60617049152959,0.0194987665055285,0.247963071283877,0.16451605221906,1838,"tags=50%, list=13%, signal=44%","6653/1432/115209/55198/9462",0.352487857583619
"GO:0006692","prostanoid metabolic process",35,-0.47889507106133,-1.60510941196983,0.0143833821989267,0.210240681096749,0.139488379018688,1458,"tags=34%, list=10%, signal=31%","221955/231/873/7132/8824/8644/2171/1646/10280/3553/6916/29785",0.380730400722792
"GO:1905907","negative regulation of amyloid fibril formation",10,-0.663620302496471,-1.60490709598686,0.019145388460163,0.245094341158863,0.162612735920364,1491,"tags=50%, list=11%, signal=45%","3339/348/5201/5202/10471",0.352487857583619
"GO:0043576","regulation of respiratory gaseous exchange",9,-0.695619122743691,-1.60460033514858,0.0154423426538597,0.216395305843057,0.143571787733178,307,"tags=33%, list=2%, signal=33%","134/4923/26164",0.380730400722792
